CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 149.078125 1571608187.7520
MEM 149.078125 1571608187.8530
MEM 149.078125 1571608187.9530
MEM 149.078125 1571608188.0530
MEM 149.078125 1571608188.1540
MEM 149.078125 1571608188.2540
MEM 149.078125 1571608188.3540
MEM 149.078125 1571608188.4540
MEM 149.078125 1571608188.5550
MEM 149.078125 1571608188.6550
MEM 149.078125 1571608188.7550
MEM 149.078125 1571608188.8550
MEM 149.078125 1571608188.9560
MEM 149.078125 1571608189.0570
MEM 149.078125 1571608189.1570
MEM 149.078125 1571608189.2580
MEM 149.078125 1571608189.3590
MEM 149.078125 1571608189.4590
MEM 149.078125 1571608189.5600
MEM 149.078125 1571608189.6600
MEM 149.078125 1571608189.7610
MEM 149.078125 1571608189.8610
MEM 149.078125 1571608189.9610
MEM 149.078125 1571608190.0620
MEM 149.078125 1571608190.1620
MEM 149.078125 1571608190.2630
MEM 149.078125 1571608190.3630
MEM 149.078125 1571608190.4640
MEM 149.078125 1571608190.5640
MEM 149.078125 1571608190.6650
MEM 149.078125 1571608190.7650
MEM 149.078125 1571608190.8660
MEM 149.078125 1571608190.9660
MEM 149.078125 1571608191.0660
MEM 149.078125 1571608191.1670
MEM 149.078125 1571608191.2670
MEM 149.078125 1571608191.3670
MEM 149.078125 1571608191.4680
MEM 149.078125 1571608191.5690
MEM 149.078125 1571608191.6690
MEM 149.078125 1571608191.7690
MEM 149.078125 1571608191.8700
MEM 149.078125 1571608191.9700
MEM 149.078125 1571608192.0700
MEM 149.140625 1571608192.1700
MEM 149.140625 1571608192.2710
MEM 149.140625 1571608192.3710
MEM 149.140625 1571608192.4710
MEM 149.140625 1571608192.5710
MEM 149.140625 1571608192.6720
MEM 149.140625 1571608192.7720
MEM 149.140625 1571608192.8720
MEM 149.140625 1571608192.9730
MEM 149.140625 1571608193.0730
MEM 149.140625 1571608193.1730
MEM 149.140625 1571608193.2730
MEM 149.140625 1571608193.3740
MEM 149.140625 1571608193.4740
MEM 149.140625 1571608193.5750
MEM 149.140625 1571608193.6750
MEM 149.140625 1571608193.7760
MEM 149.140625 1571608193.8760
MEM 149.140625 1571608193.9760
MEM 149.140625 1571608194.0770
MEM 149.140625 1571608194.1770
MEM 149.140625 1571608194.2780
MEM 149.140625 1571608194.3780
MEM 149.140625 1571608194.4790
MEM 149.140625 1571608194.5790
MEM 149.140625 1571608194.6800
